time,error
10.0216,0.160259
10.0554,0.154437
10.0883,0.159940
10.1220,0.150772
10.1549,0.134086
10.1883,0.130175
10.2217,0.123633
10.2550,0.111161
10.2881,0.095658
10.3217,0.103187
10.3550,0.086078
10.3888,0.090766
10.4220,0.085595
10.4551,0.084563
10.4885,0.067905
10.5236,0.063890
10.5553,0.061427
10.5888,0.048478
10.6220,0.047439
10.6568,0.047329
10.6888,0.027807
10.7222,0.037290
10.7568,0.030557
10.7890,0.026262
10.8225,0.023276
10.8556,0.026705
10.8894,0.008462
10.9226,0.019254
10.9559,0.026079
10.9894,0.016631
11.0227,0.014901
11.0560,0.013107
11.0895,0.007592
11.1227,0.012198
11.1560,0.016852
11.1896,0.006595
11.2228,0.019858
11.2567,0.024518
11.2897,0.015111
11.3227,0.008839
11.3561,0.019291
11.3898,0.012604
11.4247,0.004025
11.4566,0.010804
11.4899,0.006364
11.5233,0.011910
11.5565,0.007283
11.5899,0.004013
11.6235,0.010164
11.6575,0.006385
11.6902,0.008758
11.7235,0.012580
11.7567,0.002610
11.7899,0.007856
11.8239,0.008170
11.8570,0.006169
11.8901,0.008633
11.9235,0.005886
11.9568,0.003113
11.9903,0.004134
12.0237,0.011635
12.0571,0.005148
12.0904,0.007385
12.1237,0.011521
12.1571,0.007082
12.1904,0.007979
12.2238,0.013224
12.2572,0.014471
12.2907,0.004499
12.3239,0.008075
12.3571,0.005085
12.3918,0.006891
12.4243,0.010676
12.4576,0.010973
12.4906,0.011154
12.5246,0.007701
12.5587,0.009772
12.5927,0.013019
12.6249,0.006089
12.6588,0.014964
12.6922,0.005713
12.7272,0.008330
12.7590,0.007024
12.7921,0.006882
12.8254,0.009656
12.8591,0.003913
12.8923,0.007831
12.9260,0.003831
12.9591,0.002179
12.9923,0.007927
13.0255,0.005070
13.0600,0.005375
13.0930,0.009285
13.1259,0.009124
13.1592,0.012983
13.1929,0.013538
13.2264,0.007520
13.2596,0.013656
13.2928,0.012666
13.3264,0.010503
13.3599,0.008861
13.3926,0.006443
13.4259,0.008089
13.4592,0.006487
13.4933,0.003254
13.5263,0.011655
13.5610,0.006442
13.5932,0.003172
13.6266,0.009346
13.6599,0.002488
13.6934,0.006029
13.7264,0.007467
13.7600,0.013157
13.7940,0.009294
13.8270,0.354662
13.8603,0.344650
13.8932,0.353846
13.9276,0.348020
13.9602,0.331394
13.9937,0.336739
14.0274,0.317808
14.0609,0.276404
14.0935,0.264728
14.1276,0.258452
14.1609,0.234239
14.1941,0.238195
14.2275,0.234358
14.2608,0.187265
14.2941,0.172301
14.3270,0.148469
14.3609,0.184806
14.3944,0.147709
14.4276,0.112508
14.4611,0.097226
14.4943,0.081287
14.5280,0.069981
14.5611,0.061198
14.5948,0.054803
14.6273,0.045981
14.6605,0.047608
14.6951,0.045264
14.7285,0.053656
14.7621,0.048889
14.7957,0.049350
14.8284,0.044004
14.8618,0.045321
14.8953,0.051540
14.9280,0.043276
14.9615,0.034738
14.9949,0.037894
15.0281,0.050154
15.0618,0.051776
15.0942,0.046135
15.1283,0.054941
15.1619,0.049591
15.1948,0.062469
15.2280,0.058292
15.2615,0.049609
15.2948,0.033110
15.3287,0.037191
15.3615,0.048456
15.3947,0.050403
15.4285,0.042342
15.4618,0.054405
15.4950,0.056913
15.5300,0.041895
15.5622,0.047304
15.5955,0.036500
15.6302,0.038873
15.6635,0.049695
15.6961,0.040200
15.7298,0.035575
15.7622,0.043802
15.7962,0.038442
15.8289,0.046031
15.8626,0.042160
15.8957,0.036604
15.9291,0.048842
15.9627,0.034670
15.9963,0.050071
16.0292,0.034051
16.0624,0.033652
16.0964,0.043017
16.1295,0.051018
16.1631,0.037008
16.1962,0.035027
16.2293,0.045242
16.2630,0.032757
16.2956,0.039960
16.3300,0.039503
16.3634,0.034122
16.3964,0.059908
16.4308,0.050710
16.4623,0.057480
16.4963,0.030176
16.5291,0.023728
16.5636,0.041538
16.5963,0.028574
16.6294,0.043307
16.6631,0.042771
16.6971,0.073811
16.7299,0.013539
16.7635,0.067450
16.7964,0.059299
16.8296,0.042497
16.8636,0.071200
16.8969,0.075512
16.9299,0.058810
16.9629,0.053208
16.9973,0.059764
17.0302,0.046727
17.0637,0.079592
17.0970,0.072298
17.1300,0.053092
17.1636,0.041990
17.1966,0.057117
17.2302,0.042075
17.2636,0.039167
17.2971,0.062803
17.3301,0.054664
17.3639,0.057258
17.3972,0.052627
17.4306,0.040899
17.4640,0.039771
17.4978,0.029872
17.5293,0.032456
17.5631,0.022178
17.5961,0.026625
17.6299,0.021166
17.6626,0.026047
17.6966,0.020761
17.7290,0.022283
17.7627,0.012175
17.7964,0.009316
17.8297,0.016072
17.8631,0.014570
17.8966,0.016518
17.9298,0.016158
17.9632,0.010594
17.9963,0.016125
18.0298,0.011715
18.0630,0.007589
18.0966,0.006576
18.1301,0.013384
18.1634,0.008247
18.1976,0.003416
